7,30E+03
9,90E+09
9,90E+09
1,6
7,5
3,87E+03
9,90E+09
9,90E+09
1,6
6,5
2,18E+03
9,90E+09
9,90E+09
1,6
6,5
1,19E+03
9,90E+09
9,90E+09
1,6
6,3
6,54E+02
9,90E+09
9,90E+09
1,6
6,1
3,67E+02
9,90E+09
9,90E+09
1,6
7,3
2,12E+02
9,90E+09
9,90E+09
1,6
6,5
1,29E+02
9,90E+09
9,90E+09
9,90E+09
1,6
8,2
9,90E+09
8,36E+01
6,02E+01
1,6
7,5
9,90E+09
9,90E+09
1,6
6,8
4,24E+01
9,90E+09
9,90E+09
1,6
6,5
3,24E+01
9,90E+09
9,90E+09
1,6
6,1
9,90E+09
2,53E+01
9,90E+09
9,90E+09
1,6
6,1
9,90E+09
2,05E+01
1,6
6,1
1,79E+01
9,90E+09
9,90E+09
1,6
7,5
1,52E+01
9,90E+09
9,90E+09
9,90E+09
1,6
7
1,36E+01
9,90E+09
1,6
6,1
1,21E+01
9,90E+09
9,90E+09
1,6
6,3
1,11E+01
9,90E+09
9,90E+09
1,6
8,2
1,05E+01
9,90E+09
9,90E+09
1,6
6,1
9,96E+00
9,90E+09
9,90E+09
1,6
6,1
9,47E+00
9,90E+09
9,90E+09
1,6
6,3
9,05E+00
9,90E+09
9,90E+09
1,6
8,2
8,76E+00
9,90E+09
9,90E+09
1,6
8,4
8,54E+00
9,90E+09
9,90E+09
1,6
7

8,37E+00
9,90E+09
9,90E+09
9,90E+09
1,6
8,2
9,90E+09
8,19E+00
1,6
7,5
8,06E+00
9,90E+09
9,90E+09
1,6
6,1
7,92E+00
9,90E+09
9,90E+09
1,6
6,3
7,78E+00
9,90E+09
9,90E+09
9,90E+09
1,6
6,1
7,69E+00
9,90E+09
7,61E+00
1,6
6,1
9,90E+09
9,90E+09
9,90E+09
1,6
6,1
7,48E+00
9,90E+09
7
1,6
7,34E+00
9,90E+09
9,90E+09
1,6
6,5
7,21E+00
9,90E+09
9,90E+09
7,17E+00
1,6
6,1
9,90E+09
9,90E+09
1,6
6,5
7,03E+00
9,90E+09
9,90E+09
1,6
8,2
6,90E+00
9,90E+09
9,90E+09
1,6
6,1
6,81E+00
9,90E+09
9,90E+09
1,6
8,2
6,71E+00
9,90E+09
9,90E+09
1,6
6,1
6,63E+00
9,90E+09
9,90E+09
1,6
8,2
6,54E+00
9,90E+09
9,90E+09
1,6
6,1
6,48E+00
9,90E+09
9,90E+09
1,6
7
6,41E+00
9,90E+09
9,90E+09
6,35E+00
1,6
6,5
9,90E+09
9,90E+09
1,6
6,5
6,32E+00
9,90E+09
9,90E+09
1,6
7,5
6,28E+00
9,90E+09
9,90E+09
6,22E+00
1,6
8,2
9,90E+09
9,90E+09
6,16E+00
1,6
8
9,90E+09
9,90E+09
1,6
6,8
6,09E+00
9,90E+09
9,90E+09
1,6
7
6,05E+00
9,90E+09
9,90E+09
9,90E+09
1,6
7,3
5,99E+00
9,90E+09
9,90E+09
1,6
6,3
9,90E+09
5,99E+00
1,6
8
5,99E+00
9,90E+09
9,90E+09
1,6
7,5
5,96E+00
9,90E+09
9,90E+09
1,6
6,1
5,93E+00
9,90E+09
9,90E+09
1,6
8
5,86E+00
9,90E+09
9,90E+09
1,6
8,2
5,79E+00
9,90E+09
9,90E+09
1,6
8
5,73E+00
9,90E+09
9,90E+09
1,6
7,5
5,70E+00
9,90E+09
9,90E+09
1,6
6,3
5,63E+00
9,90E+09
9,90E+09
1,6
7,3
5,56E+00
9,90E+09
9,90E+09
1,6
6,5
5,53E+00
9,90E+09
9,90E+09
1,6
6,5
5,50E+00
9,90E+09
9,90E+09
1,6
8,2
5,44E+00
9,90E+09
9,90E+09
5,40E+00
1,6
6,1
9,90E+09
9,90E+09
1,6
6,1
5,37E+00
9,90E+09
9,90E+09
1,6
6,1
5,34E+00
9,90E+09
9,90E+09
9,90E+09
1,6
7,3
5,30E+00
9,90E+09
9,90E+09
1,6
8
5,24E+00
9,90E+09
1,6
6,3
5,21E+00
9,90E+09
9,90E+09
1,6
8,2
5,17E+00
9,90E+09
9,90E+09
1,6
7
5,11E+00
9,90E+09
9,90E+09
1,6
8
5,08E+00
9,90E+09
9,90E+09
1,6
6,5
5,04E+00
9,90E+09
9,90E+09
1,6
8
5,01E+00
9,90E+09
9,90E+09
1,6
7,3
4,98E+00
9,90E+09
9,90E+09
6,1
1,6
4,95E+00
9,90E+09
